Protocol,SrcIPAddress,SrcPort,DstPort,Direction,Dst,Purpose
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,*.crl.microsoft.com,Update (Windows)
HTTP,[10.192.1.11;10.192.1.12;10.192.1.13],Any,80,outbound,*.download.windowsupdate.com,Update (Windows)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,*.s3.amazonaws.com,Storage (AWS S3)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,*.s3.us-east-1.amazonaws.com,Storage (AWS S3)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,*.s3.us-east-2.amazonaws.com,Storage (AWS S3)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,*.s3.us-west-1.amazonaws.com,Storage (AWS S3)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,*.s3.us-west-2.amazonaws.com,Storage (AWS S3)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,*.update.microsoft.com,Update (Windows)
HTTP,[10.192.1.11;10.192.1.12;10.192.1.13],Any,80,outbound,*.update.microsoft.com,Update (Windows)
HTTP,[10.192.1.11;10.192.1.12;10.192.1.13],Any,80,outbound,*.windowsupdate.com,Update (Windows)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,*.windowsupdate.microsoft.com,Update (Windows)
HTTP,[10.192.1.11;10.192.1.12;10.192.1.13],Any,80,outbound,*.windowsupdate.microsoft.com,Update (Windows)
NTP,[10.192.1.15;10.192.1.16],Any,123,outbound,216.239.35.0,External NTP
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,657273346644.dkr.ecr.us-east-1.amazonaws.com,PCE updates (AWS ECR)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,657273346644.dkr.ecr.us-west-2.amazonaws.com,PCE updates (AWS ECR)
DNS,[10.192.1.15;10.192.1.16],Any,53,outbound,8.8.8.8,External DNS
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,activation-v2.sls.microsoft.com,Update (Windows)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,activation.sls.microsoft.com,Update (Windows)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,alpine-pkgs.sgerrand.com,PCE installation and updates  (sgerrand.com)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,api.ecr.us-east-1.amazonaws.com,Security (AWS STS)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,api.ecr.us-east-2.amazonaws.com,Security (AWS STS)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,api.ecr.us-west-1.amazonaws.com,Security (AWS STS)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,api.ecr.us-west-2.amazonaws.com,Security (AWS STS)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,app.logz.io,Logging (Logz.io)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,auth0.com,Security (auth0.com)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,aws.amazon.com,PCE services support functionality (AWS)
HTTP,[10.192.1.11;10.192.1.12;10.192.1.13],Any,80,outbound,cdn.quay.io,PCE updates (Quay.io)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,cdn.quay.io,PCE updates (Quay.io)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,cdn01.quay.io,PCE updates (Quay.io)
HTTP,[10.192.1.11;10.192.1.12;10.192.1.13],Any,80,outbound,cdn01.quay.io,PCE updates (Quay.io)
HTTP,[10.192.1.11;10.192.1.12;10.192.1.13],Any,80,outbound,cdn02.quay.io,PCE updates(Quay.io)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,cdn02.quay.io,PCE updates(Quay.io)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,cdn03.quay.io,PCE updates(Quay.io)
HTTP,[10.192.1.11;10.192.1.12;10.192.1.13],Any,80,outbound,cdn03.quay.io,PCE updates(Quay.io)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,cn01-hpepod.opsramp.com,Monitoring (OpsRamp)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,cn03-hpepod.opsramp.com,Monitoring (OpsRamp)
HTTP,[10.192.1.11;10.192.1.12;10.192.1.13],Any,80,outbound,crl.entrust.net,Service management security (ServiceNow)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,crl.entrust.net,Service management security (ServiceNow)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,d1xrzz3jml13a5.cloudfront.net,PCE updates(cloudfront.net)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,device.cloud.hpe.com,Initialization of Alletra Storage (HPE)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,dl-cdn.alpinelinux.org,PCE installation and updates (alpinelinux.org)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,dl01-hpe.opsramp.com,Monitoring (OpsRamp)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,docker.elastic.co,PCE updates(elasic.io)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,docker.io,PCE updates (docker.io)
HTTP,[10.192.1.11;10.192.1.12;10.192.1.13],Any,80,outbound,download.microsoft.com,Update (Windows)
HTTP,[10.192.1.11;10.192.1.12;10.192.1.13],Any,80,outbound,download.windowsupdate.com,Update (Windows)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,fe3cr.delivery.mp.microsoft.com,Update (Windows)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,files.pythonhosted.org,PCE updates (github.io)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,ghcr.io,PCE updates (ghcr.io)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,github.com,PCE deployment (Github)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,glmiconsole-us.greenlake.hpe.com,Monitoring (Opsramp)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,global-trade.us1.greenlake-hpe.com,Global Trade Complaince
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,go.microsoft.com,Update (Windows)
HTTP,[10.192.1.11;10.192.1.12;10.192.1.13],Any,80,outbound,go.microsoft.com,Update (Windows)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,greenlake-prod.us.auth0.com,Security (auth0.com)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,gwbkup-unicade-crblj3eqnsl73kb3g700-s3.s3.us-west-2.amazonaws.com,Storage (AWS S3)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,hcss.jfrog.io,PCE updates (JFrog.io)
SSH,[10.192.1.15;10.192.1.16],Any,2222,outbound,hogan.nimblestorage.com,Secure tunnel connection for Nimble Storage support (HPE)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,hpe-glmi.api.opsramp.com,Monitoring (OpsRamp)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,hpeglobalcsm.service-now.com,Service management (ServiceNow)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,hpeglobalcsmdev.service-now.com,Service management (ServiceNow)
